back_angle_R,back_angle_L,knee_angle_R,knee_angle_L,ankle_knee_knee_R,ankle_knee_knee_L,hip_hip_knee_R,hip_hip_knee_L,knee_knee_dis
143.3,172.2,115.8,151.0,114.7,85.1,40.2,66.4,0.8
153.6,167.9,131.8,147.0,110.3,84.2,51.2,62.0,0.8
158.9,36.3,137.3,16.3,120.3,73.7,57.9,70.3,0.9
101.2,24.4,78.3,4.6,113.7,80.9,0.4,82.9,0.8
78.3,27.3,55.0,7.8,110.5,84.2,22.2,80.3,0.8
54.3,29.1,33.5,9.5,104.6,88.0,46.1,78.2,0.8
52.1,29.5,31.1,9.5,104.4,88.8,48.4,77.8,0.7
50.3,30.2,29.1,9.8,105.8,88.3,49.9,77.1,0.7
51.7,32.8,29.7,12.2,106.2,89.1,49.0,73.8,0.7
52.2,32.5,29.6,11.8,108.1,87.7,48.5,74.3,0.7
50.1,32.1,27.0,10.4,109.5,87.8,50.3,74.9,0.7
51.0,32.9,27.1,10.8,111.4,87.7,48.6,74.4,0.7
54.5,34.5,29.7,12.7,114.0,85.9,45.4,72.2,0.7
57.9,36.2,32.4,14.6,114.4,86.0,42.2,70.3,0.7
